State,League,Club Name,Suburb,Primary,Secondary,Distance,HomeGround,Reputation
Victoria,VPL,Taylors Lakes Lions,Taylors Lakes,Blue,Yellow,4,Windy Hill,50
Victoria,VPL,Keilor Blues,Keilor,Blue,White,60,Windy Hill,50
Victoria,VPL,Spotswood Woodsmen,Spotswood,Green,Gold,15,Coburg City Oval,50
Victoria,VPL,Aberfeldie Sports Club,Aberfeldie,Yellow,Black,18,Coburg City Oval,50
Victoria,VPL,Ballarat Swans,Ballarat,Red,White,70,Coburg City Oval,50
Victoria,VPL,Fitzroy Lions,Fitzroy,Blue,Red,20,Victoria Park,50
Victoria,VPL,Blackburn Panthers,Blackburn,Black,Red,44,Victoria Park,50
Victoria,VPL,Inverloch Eagles,Inverloch,White,Blue,16,Victoria Park,50
Victoria,VPL,Portarlington Demons,Portarlington,Navy,Red,30,La Trobe Oval,50
Victoria,VPL,Bell Park Dragons,Bell Park,Green,White,25,La Trobe Oval,50
Victoria,VPL,Seaford Tigers,Seaford,Black,Yellow,30,La Trobe Oval,50
Victoria,VPL,Corowa-Rutherglen,Corowa,Blue,White,80,La Trobe Oval,50
Victoria,VPL,Traralgon Maroons,Traralgon,Maroon,White,20,Gippsland Park Oval,50
South Australia,SAPL,Adelaide University,North Adelaide,Black,White,25,Norwood Oval,50
South Australia,SAPL,Imperial Blues,Murray Bridge,Light Blue,Navy,30,Norwood Oval,50
South Australia,SAPL,Ramblers Roosters,Murray Bridge,Red,White,50,Norwood Oval,50
South Australia,SAPL,Mallala Magpies,Mallala,Black,White,30,Glenelg Oval,50
South Australia,SAPL,Victor Harbor Kangaroos,Victor Harbor,Blue,White,25,Glenelg Oval,50
South Australia,SAPL,Meadows Bulldogs,Meadows,Green,Gold,30,Glenelg Oval,50
South Australia,SAPL,Mount Burr Mozzies,Mount Burr,Yellow,Brown,10,South Adelaide Reserve,50
South Australia,SAPL,Noarlunga Shoes,Old Noarlunga,Navy,White,15,South Adelaide Reserve,50
South Australia,SAPL,Central Yorke Cougars,Maitland,Black,White,20,South Adelaide Reserve,50
South Australia,SAPL,Marion Rams,Marion,Yellow,Brown,15,South Adelaide Reserve,50
South Australia,SAPL,Plympton Bulldogs,Plympton Park,Red,Black,20,South Adelaide Reserve,50
