State,League,Club Name,Suburb,Primary,Secondary,Distance,HomeGround,Reputation
Victoria,Talent League,Dandenong Rangers,Dandenong,Red,Black,18,Shepley Oval,60
Victoria,Talent League,Eastern Suburbs Hawks,Box Hill,Brown,Gold,22,Wembley Park,58
Victoria,Talent League,Northern Bay Power,Geelong North,Blue,White,35,Bell Park Oval,62
Victoria,Talent League,Western Jets Academy,Werribee,Navy,Yellow,28,Chirnside Park,59
Victoria,Talent League,Bendigo Miners,Bendigo,Green,Gold,95,Queen Elizabeth Oval,57
Victoria,Talent League,Gippsland Rovers,Traralgon,Maroon,Gold,110,Traralgon Recreation Reserve,56
Victoria,Talent League,Murray Valley Bushmen,Wodonga,Green,White,180,Martin Park,55
Victoria,Talent League,Sandringham Colts,Sandringham,Navy,Red,20,Trevor Barker Oval,63
Victoria,Talent League,Calder Cannons,Calder Park,Purple,White,24,Highpoint Reserve,61
Victoria,Talent League,Oakleigh Chargers,Oakleigh,Red,White,19,Warrawee Park,64
